athlete_id,athlete_name,club,position,age,session_number,session_date,heart_rate,hrv,training_load,fatigue_score,recovery_hours,sleep_hours,previous_injury_flag,readiness_score,injury_risk
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,9,2026-02-06,75.6,60.8,60.3,5.7,9.9,7.2,0,100.0,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,10,2026-02-10,72.4,47.0,86.8,4.4,9.5,6.5,0,100.0,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,11,2026-01-23,75.6,44.7,61.3,4.7,8.1,6.6,0,100.0,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,12,2026-01-25,67.1,56.2,89.4,5.0,8.0,7.5,0,100.0,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,1,2026-01-03,80.2,73.4,87.2,6.0,6.7,6.7,0,96.8,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,2,2026-01-09,73.6,90.9,89.0,6.0,6.8,7.8,0,100.0,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,3,2026-01-13,75.2,85.7,78.5,6.9,5.1,6.9,0,89.5,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,4,2026-01-17,72.8,80.1,87.6,5.1,6.2,7.3,0,100.0,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,5,2026-01-16,74.3,69.7,76.6,5.6,6.3,7.2,0,100.0,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,6,2026-01-19,80.0,75.3,86.9,4.6,7.4,6.2,0,100.0,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,7,2026-01-22,75.4,65.5,95.7,5.8,6.0,8.9,0,97.4,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,8,2026-01-25,74.9,97.2,77.7,5.9,7.2,7.3,0,100.0,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,9,2026-01-19,82.5,80.1,81.6,2.9,6.2,6.6,0,100.0,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,10,2026-01-31,78.6,85.2,90.5,6.6,4.0,6.7,0,83.3,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,11,2026-02-14,79.2,77.1,89.0,5.1,5.9,6.8,0,99.3,0
ATH-190,Player 3,Elmhurst Athletic,Central Midfielder,24,12,2026-02-18,72.5,81.5,73.8,5.5,7.3,8.6,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,1,2026-01-03,81.3,53.9,76.9,5.5,7.9,7.5,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,2,2026-01-09,80.0,62.0,68.0,5.0,7.9,6.3,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,3,2026-01-10,83.3,74.9,72.8,5.8,5.5,8.6,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,4,2026-01-13,84.5,62.5,68.8,5.4,8.1,7.4,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,5,2026-01-16,81.5,65.8,76.4,5.0,8.2,9.0,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,6,2026-01-13,73.9,65.5,96.8,6.1,7.5,5.7,0,93.3,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,7,2026-01-15,84.7,65.2,92.5,6.1,7.7,7.1,0,98.6,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,8,2026-01-17,81.4,68.5,86.6,6.4,8.0,7.9,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,9,2026-01-19,84.8,71.6,97.1,6.1,6.1,8.7,0,96.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,10,2026-01-21,83.4,62.1,71.0,5.9,7.8,7.2,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,11,2026-02-03,80.5,61.3,85.0,5.6,7.2,7.0,0,100.0,0
ATH-888,Player 4,Hillcrest Wanderers,Goalkeeper,25,12,2026-01-25,81.8,69.2,89.2,3.1,6.3,6.3,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,1,2026-01-04,75.2,64.0,75.4,6.4,7.5,9.3,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,2,2026-01-05,74.5,49.1,68.2,5.0,6.8,8.1,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,3,2026-01-13,71.2,72.2,73.7,7.7,7.7,8.6,0,98.5,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,4,2026-01-09,75.5,65.6,90.1,4.4,7.5,9.1,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,5,2026-01-11,89.5,79.4,71.8,4.7,7.4,8.4,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,6,2026-01-13,78.8,61.2,78.0,5.8,7.0,10.0,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,7,2026-01-15,74.5,61.4,85.2,4.8,7.7,7.1,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,8,2026-02-02,72.0,78.1,97.2,5.3,5.4,7.4,0,95.7,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,9,2026-01-28,79.4,54.6,85.1,4.5,6.3,7.3,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,10,2026-01-21,72.4,68.1,78.1,5.4,5.5,9.3,0,100.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,11,2026-01-23,77.0,68.3,88.3,7.4,7.3,8.4,0,94.0,0
ATH-518,Player 5,Oakfield FC,Attacking Midfielder,29,12,2026-01-25,79.3,69.5,77.8,5.7,6.4,7.5,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,1,2026-01-03,74.6,44.0,83.3,5.8,6.1,6.9,0,92.6,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,2,2026-01-05,60.0,57.0,62.0,5.4,9.1,6.5,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,3,2026-01-10,76.6,57.2,77.1,5.6,10.2,6.8,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,4,2026-01-17,75.7,53.8,82.9,5.7,9.4,8.2,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,5,2026-01-16,72.2,40.2,68.1,3.6,8.7,8.5,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,6,2026-01-19,68.8,49.7,80.4,4.5,8.3,7.0,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,7,2026-01-29,68.0,47.8,59.3,4.2,7.7,8.9,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,8,2026-02-02,64.0,50.5,45.6,3.2,10.0,6.7,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,9,2026-02-06,68.6,45.0,62.8,3.3,9.9,8.5,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,10,2026-01-21,64.6,44.0,65.3,4.5,8.5,6.6,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,11,2026-02-14,69.4,40.7,77.8,1.0,6.6,5.7,0,100.0,0
ATH-373,Player 6,Metro Sporting,Defensive Midfielder,28,12,2026-01-25,71.7,57.2,64.9,3.6,7.4,8.0,0,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,1,2026-01-03,75.2,53.5,59.3,4.4,9.0,5.5,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,2,2026-01-09,73.6,59.9,60.8,4.5,10.3,5.0,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,3,2026-01-13,63.1,59.9,66.1,4.6,11.4,7.4,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,4,2026-01-17,67.4,51.8,73.6,5.8,10.6,8.5,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,5,2026-01-11,70.6,54.0,62.5,3.2,10.1,8.8,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,6,2026-01-25,68.1,57.6,50.6,5.4,9.7,6.6,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,7,2026-01-29,66.2,63.6,75.6,4.9,10.1,6.6,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,8,2026-02-02,73.7,59.9,72.7,1.2,9.1,6.1,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,9,2026-02-06,63.2,62.4,60.3,3.8,10.6,7.0,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,10,2026-02-10,63.0,64.4,73.5,3.3,11.1,5.8,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,11,2026-02-14,72.8,58.8,79.6,3.8,10.1,5.8,1,100.0,0
ATH-211,Player 7,Southmoor Albion,Centre Back,20,12,2026-01-25,71.5,63.0,54.6,4.2,9.6,6.4,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,1,2026-01-04,75.5,73.0,66.2,3.2,10.0,9.1,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,2,2026-01-07,75.4,62.3,54.2,4.9,10.8,7.2,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,3,2026-01-10,81.9,74.8,79.0,3.9,10.1,6.5,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,4,2026-01-13,70.9,74.7,70.5,4.5,8.6,8.1,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,5,2026-01-11,74.2,65.3,67.6,5.3,8.6,7.7,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,6,2026-01-13,67.3,62.7,71.5,5.1,8.6,7.7,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,7,2026-01-22,75.0,68.4,52.4,4.7,8.2,7.8,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,8,2026-01-25,64.9,75.4,78.4,4.8,8.8,7.7,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,9,2026-02-06,75.2,65.4,58.3,3.7,9.3,7.9,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,10,2026-02-10,68.9,73.9,66.1,3.4,9.4,8.3,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,11,2026-02-14,73.5,79.5,79.4,1.2,8.2,7.1,1,100.0,0
ATH-959,Player 8,Falcon Ridge FC,Centre Back,24,12,2026-02-06,67.5,72.1,73.6,4.8,9.1,7.2,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,1,2026-01-04,77.8,59.4,71.7,3.7,8.2,7.7,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,2,2026-01-09,72.7,58.7,75.7,4.1,7.8,7.6,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,3,2026-01-10,69.9,64.8,70.4,3.7,6.9,6.1,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,4,2026-01-13,73.9,61.0,69.6,5.1,8.3,7.6,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,5,2026-01-16,76.9,61.6,69.4,5.0,5.9,6.0,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,6,2026-01-13,72.8,68.5,68.3,2.7,8.6,8.0,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,7,2026-01-29,74.1,62.4,66.3,3.7,8.1,6.8,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,8,2026-01-25,67.3,57.1,56.4,3.9,8.6,6.7,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,9,2026-02-06,69.7,60.5,57.1,2.0,8.1,7.1,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,10,2026-01-31,71.6,68.8,73.9,4.5,7.9,7.6,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,11,2026-02-14,71.2,61.2,46.0,3.6,8.7,7.5,1,100.0,0
ATH-996,Player 9,Metro Sporting,Attacking Midfielder,22,12,2026-02-18,76.1,67.1,82.4,4.6,8.5,7.2,1,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,1,2026-01-05,76.2,72.1,80.8,5.0,10.1,8.0,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,2,2026-01-07,74.2,65.4,80.5,6.6,9.5,9.8,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,3,2026-01-07,78.8,56.0,80.3,7.1,9.9,9.1,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,4,2026-01-17,70.9,73.4,81.0,3.4,9.0,9.2,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,5,2026-01-21,86.5,56.1,81.7,6.5,11.1,9.6,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,6,2026-01-19,78.2,56.5,80.5,4.9,9.2,8.9,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,7,2026-01-29,77.2,64.7,85.0,5.6,8.8,8.8,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,8,2026-02-02,78.9,61.9,89.8,6.1,10.6,7.7,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,9,2026-01-19,73.3,68.5,94.8,4.6,10.1,9.1,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,10,2026-01-21,76.1,57.8,67.1,2.9,10.8,8.5,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,11,2026-02-03,75.2,74.3,68.6,4.5,11.0,8.9,0,100.0,0
ATH-140,Player 10,Eastgate Rovers,Left Winger,32,12,2026-02-06,76.7,59.9,76.8,4.9,11.5,7.5,0,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,1,2026-01-05,74.5,53.1,47.2,5.9,7.1,8.0,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,2,2026-01-05,77.2,57.2,68.5,3.7,6.0,8.5,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,3,2026-01-10,76.1,63.7,54.9,5.7,7.5,7.3,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,4,2026-01-09,73.1,54.5,55.0,5.0,6.6,6.2,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,5,2026-01-21,76.7,57.4,74.7,4.3,6.4,7.3,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,6,2026-01-25,73.6,64.9,63.6,4.1,5.7,7.4,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,7,2026-01-29,69.3,62.7,55.9,6.2,6.2,5.8,1,97.5,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,8,2026-02-02,66.6,55.9,50.8,5.9,5.2,6.8,1,98.1,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,9,2026-01-19,67.1,47.7,53.2,3.8,5.9,7.0,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,10,2026-01-31,77.0,56.6,64.7,6.3,6.6,7.8,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,11,2026-02-14,67.4,54.8,58.6,5.0,6.5,5.9,1,100.0,0
ATH-489,Player 11,Redstone Athletic,Left Back,24,12,2026-02-18,69.0,52.6,63.2,4.5,7.7,7.3,1,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,1,2026-01-03,76.0,52.0,79.9,5.7,5.6,7.5,0,94.8,0
ATH-650,Player 12,Harbour Vale,Right Back,30,2,2026-01-05,75.5,63.2,78.3,5.8,5.9,8.2,0,99.2,0
ATH-650,Player 12,Harbour Vale,Right Back,30,3,2026-01-10,83.1,58.9,87.7,4.8,5.7,8.2,0,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,4,2026-01-13,68.8,47.4,85.1,6.7,5.6,8.6,0,89.5,0
ATH-650,Player 12,Harbour Vale,Right Back,30,5,2026-01-21,74.5,62.6,88.2,5.2,7.4,8.2,0,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,6,2026-01-25,79.3,56.6,87.9,5.0,7.4,9.1,0,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,7,2026-01-29,75.4,55.0,72.5,5.1,6.1,8.2,0,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,8,2026-01-17,73.8,59.9,101.1,4.3,5.6,9.1,0,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,9,2026-01-19,72.2,52.1,70.9,6.5,6.0,10.0,0,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,10,2026-01-21,75.8,48.5,83.2,4.2,5.3,7.7,0,100.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,11,2026-02-14,70.7,60.8,78.6,5.8,4.9,7.9,0,94.0,0
ATH-650,Player 12,Harbour Vale,Right Back,30,12,2026-02-06,80.6,59.8,88.8,4.9,6.6,8.1,0,100.0,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,1,2026-01-05,69.5,49.5,87.5,6.9,6.6,6.6,0,87.0,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,2,2026-01-05,70.9,60.4,87.8,5.9,6.8,5.9,0,93.7,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,3,2026-01-07,75.8,59.8,95.1,1.0,8.4,5.8,0,100.0,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,4,2026-01-17,69.2,62.6,105.9,2.7,5.1,5.5,0,100.0,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,5,2026-01-21,73.9,52.1,91.9,2.1,6.1,6.8,0,100.0,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,6,2026-01-19,73.7,50.2,76.6,5.3,6.0,7.7,0,99.8,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,7,2026-01-29,70.7,48.8,98.5,3.0,6.3,5.5,0,100.0,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,8,2026-01-17,69.7,54.6,78.4,4.3,9.3,6.3,0,100.0,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,9,2026-02-06,79.3,50.3,86.2,6.3,7.7,7.3,0,97.2,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,10,2026-02-10,74.9,51.2,82.8,5.8,6.3,7.3,0,95.6,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,11,2026-02-14,71.6,40.9,80.6,4.9,6.6,6.5,0,99.2,0
ATH-676,Player 13,Northbridge FC,Right Winger,24,12,2026-01-25,70.0,62.0,89.7,4.6,6.8,7.9,0,100.0,0
ATH-441,Player 14,Metro Sporting,Left Back,28,1,2026-01-03,74.7,69.7,76.7,8.0,7.1,6.5,1,87.9,0
ATH-441,Player 14,Metro Sporting,Left Back,28,2,2026-01-07,73.1,75.9,92.2,9.5,10.8,5.7,1,88.8,0
ATH-441,Player 14,Metro Sporting,Left Back,28,3,2026-01-07,77.2,61.7,65.2,10.0,9.5,5.4,1,84.5,0
ATH-441,Player 14,Metro Sporting,Left Back,28,4,2026-01-17,72.0,50.8,87.9,9.5,8.9,5.8,1,78.7,0
ATH-441,Player 14,Metro Sporting,Left Back,28,5,2026-01-21,77.4,64.3,84.6,8.3,7.6,5.7,1,83.3,0
ATH-441,Player 14,Metro Sporting,Left Back,28,6,2026-01-25,84.3,62.2,73.4,10.0,7.6,4.3,1,72.1,1
ATH-441,Player 14,Metro Sporting,Left Back,28,7,2026-01-29,73.6,61.4,62.1,9.3,10.3,6.2,1,94.6,0
ATH-441,Player 14,Metro Sporting,Left Back,28,8,2026-02-02,75.7,74.3,61.7,9.8,8.7,4.9,1,84.0,0
ATH-441,Player 14,Metro Sporting,Left Back,28,9,2026-02-06,77.2,65.3,70.6,9.4,10.7,6.2,1,94.0,0
ATH-441,Player 14,Metro Sporting,Left Back,28,10,2026-01-31,70.7,55.0,81.0,7.9,8.7,6.4,1,91.4,0
ATH-441,Player 14,Metro Sporting,Left Back,28,11,2026-01-23,77.0,50.9,63.5,8.9,9.4,6.2,1,91.5,0
ATH-441,Player 14,Metro Sporting,Left Back,28,12,2026-02-18,75.6,57.7,46.5,8.7,7.4,6.7,1,91.2,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,1,2026-01-03,59.8,63.2,73.2,2.5,8.1,6.5,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,2,2026-01-07,61.5,70.3,62.5,3.4,8.2,7.2,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,3,2026-01-10,65.7,66.0,58.0,5.2,9.6,6.5,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,4,2026-01-17,70.4,58.8,91.2,3.2,8.5,6.6,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,5,2026-01-21,68.8,50.9,75.6,3.3,6.1,8.1,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,6,2026-01-13,65.0,54.1,88.3,2.1,5.8,5.6,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,7,2026-01-15,68.3,73.7,56.0,3.7,8.2,7.6,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,8,2026-02-02,59.5,66.7,70.6,4.4,6.4,7.5,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,9,2026-02-06,73.2,68.6,83.1,3.3,7.3,6.7,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,10,2026-02-10,65.5,58.9,70.5,4.4,8.5,6.1,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,11,2026-02-03,63.6,59.6,68.1,3.7,5.1,5.7,1,100.0,0
ATH-449,Player 15,Falcon Ridge FC,Left Winger,25,12,2026-01-25,76.2,66.7,52.5,4.9,8.4,6.7,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,1,2026-01-05,72.2,51.5,47.1,6.0,11.1,6.6,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,2,2026-01-05,63.1,48.6,48.9,5.6,8.9,7.2,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,3,2026-01-13,68.8,46.1,69.4,6.3,10.5,6.3,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,4,2026-01-17,63.4,51.6,36.6,7.3,9.2,6.4,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,5,2026-01-16,62.1,46.6,50.5,9.8,9.6,7.1,1,91.7,0
ATH-973,Player 16,Riverside United,Right Back,33,6,2026-01-13,73.9,59.7,40.3,9.6,9.3,6.1,1,93.7,0
ATH-973,Player 16,Riverside United,Right Back,33,7,2026-01-29,68.9,37.7,49.6,8.2,11.9,6.8,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,8,2026-01-25,70.8,51.2,52.4,5.8,10.7,6.9,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,9,2026-01-19,64.2,48.5,55.6,7.1,12.0,6.3,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,10,2026-01-21,66.8,50.7,53.3,4.6,9.4,7.1,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,11,2026-01-23,65.8,52.0,73.9,6.1,11.0,7.5,1,100.0,0
ATH-973,Player 16,Riverside United,Right Back,33,12,2026-01-25,68.4,30.6,67.8,7.8,9.7,6.5,1,95.9,0
ATH-264,Player 17,Elmhurst Athletic,Right Winger,31,1,2026-01-03,65.8,57.6,87.2,8.1,9.4,5.8,0,90.3,0
ATH-264,Player 17,Elmhurst Athletic,Right Winger,31,2,2026-01-09,77.4,54.7,85.3,7.5,5.8,5.7,0,79.3,0
ATH-264,Player 17,Elmhurst Athletic,Right Winger,31,3,2026-01-07,70.3,55.3,70.2,7.6,7.7,6.1,0,91.2,0
ATH-264,Player 17,Elmhurst Athletic,Right Winger,31,4,2026-01-17,80.1,62.9,86.5,5.8,7.5,5.6,0,97.0,0
ATH-264,Player 17,Elmhurst Athletic,Right Winger,31,5,2026-01-16,71.8,65.3,76.3,7.4,8.2,5.7,0,93.4,0
